,,,Premature Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor Physical Health Days,,,,Low Birth Weight,,,,,,,,,,,,,,,,,,,,,,,,,,Poor Mental Health Days,,,,Poor or Fair Health,,,,Flu Vaccinations,,,,,,,Access to Exercise Opportunities,,Food Environment Index,,Primary Care Physicians,,,,Mental Health Providers,,,,Dentists,,,,Preventable Hospital Stays,,,,,,,Mammography Screening,,,,,,,Uninsured,,,,,Severe Housing Problems,,,,,,,,,,,,,Driving Alone to Work,,,,,,,,,,,,,,,,,,,Long Commute - Driving Alone,,,,,Air Pollution: Particulate Matter,,Drinking Water Violations,,Broadband Access,,,,,Library Access,,Some College,,,,,,High School Completion,,,,,,Unemployment,,,,Income Inequality,,,,Children in Poverty,,,,,,,,,Injury Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,Social Associations,,,Child Care Cost Burden,,
FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,National Z-Score,YPLL Rate (Hispanic (all races)),YPLL Rate (Hispanic (all races)) 95% CI - Low,YPLL Rate (Hispanic (all races)) 95% CI - High,YPLL Rate (Hispanic (all races)) Unreliable,YPLL Rate (Non-Hispanic AIAN),YPLL Rate (Non-Hispanic AIAN) 95% CI - Low,YPLL Rate (Non-Hispanic AIAN) 95% CI - High,YPLL Rate (Non-Hispanic AIAN) Unreliable,YPLL Rate (Non-Hispanic Asian),YPLL Rate (Non-Hispanic Asian) 95% CI - Low,YPLL Rate (Non-Hispanic Asian) 95% CI - High,YPLL Rate (Non-Hispanic Asian) Unreliable,YPLL Rate (Non-Hispanic Black),YPLL Rate (Non-Hispanic Black) 95% CI - Low,YPLL Rate (Non-Hispanic Black) 95% CI - High,YPLL Rate (Non-Hispanic Black) Unreliable,YPLL Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),YPLL Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,YPLL Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,YPLL Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) Unreliable,YPLL Rate (Non-Hispanic 2+ races),YPLL Rate (Non-Hispanic 2+ races) 95% CI - Low,YPLL Rate (Non-Hispanic 2+ races) 95% CI - High,YPLL Rate (Non-Hispanic 2+ races) Unreliable,YPLL Rate (Non-Hispanic White),YPLL Rate (Non-Hispanic White) 95% CI - Low,YPLL Rate (Non-Hispanic White) 95% CI - High,YPLL Rate (Non-Hispanic White) Unreliable,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,National Z-Score,Unreliable,% Low Birth Weight,95% CI - Low,95% CI - High,National Z-Score,% LBW (Hispanic (all races)),% LBW (Hispanic (all races)) 95% CI - Low,% LBW (Hispanic (all races)) 95% CI - High,% LBW (Non-Hispanic AIAN),% LBW (Non-Hispanic AIAN) 95% CI - Low,% LBW (Non-Hispanic AIAN) 95% CI - High,% LBW (Non-Hispanic Asian),% LBW (Non-Hispanic Asian) 95% CI - Low,% LBW (Non-Hispanic Asian) 95% CI - High,% LBW (Non-Hispanic Black),% LBW (Non-Hispanic Black) 95% CI - Low,% LBW (Non-Hispanic Black) 95% CI - High,% LBW (Non-Hispanic Native Hawaiian and Other Pacific Islander),% LBW (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,% LBW (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,% LBW (Non-Hispanic 2+ races),% LBW (Non-Hispanic 2+ races) 95% CI - Low,% LBW (Non-Hispanic 2+ races) 95% CI - High,% LBW (Non-Hispanic White),% LBW (Non-Hispanic White) 95% CI - Low,% LBW (Non-Hispanic White) 95% CI - High,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,National Z-Score,% Fair or Poor Health,95% CI - Low,95% CI - High,National Z-Score,% Vaccinated,National Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),% With Access to Exercise Opportunities,National Z-Score,Food Environment Index,National Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,National Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,National Z-Score,# Dentists,Dentist Rate,Dentist Ratio,National Z-Score,Preventable Hospitalization Rate,National Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% with Annual Mammogram,National Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),# Uninsured,% Uninsured,95% CI - Low,95% CI - High,National Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,National Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,National Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,National Z-Score,Average Daily PM2.5,National Z-Score,Presence of Water Violation,National Z-Score,% Households with Broadband Access,# Households with Broadband Access,95% CI - Low,95% CI - High,National Z-Score,Visits per service area population,National Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,National Z-Score,# Completed High School,Population,% Completed High School,95% CI - Low,95% CI - High,National Z-Score,# Unemployed,Labor Force,% Unemployed,National Z-Score,80th Percentile Income,20th Percentile Income,Income Ratio,National Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,National Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,National Z-Score,Injury Death Rate (Hispanic (all races)),Injury Death Rate (Hispanic (all races)) 95% CI - Low,Injury Death Rate (Hispanic (all races)) 95% CI - High,Injury Death Rate (Non-Hispanic AIAN),Injury Death Rate (Non-Hispanic AIAN) 95% CI - Low,Injury Death Rate (Non-Hispanic AIAN) 95% CI - High,Injury Death Rate (Non-Hispanic Asian),Injury Death Rate (Non-Hispanic Asian) 95% CI - Low,Injury Death Rate (Non-Hispanic Asian) 95% CI - High,Injury Death Rate (Non-Hispanic Black),Injury Death Rate (Non-Hispanic Black) 95% CI - Low,Injury Death Rate (Non-Hispanic Black) 95% CI - High,Injury Death Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Injury Death Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Injury Death Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Injury Death Rate (Non-Hispanic 2+ races),Injury Death Rate (Non-Hispanic 2+ races) 95% CI - Low,Injury Death Rate (Non-Hispanic 2+ races) 95% CI - High,Injury Death Rate (Non-Hispanic White),Injury Death Rate (Non-Hispanic White) 95% CI - Low,Injury Death Rate (Non-Hispanic White) 95% CI - High,# Associations,Social Association Rate,National Z-Score,% Household Income Required for Child Care Expenses,National Z-Score,
37000,North Carolina,,,168309,9441,9373,9508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,3.7,4.5,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,4.9,4.5,5.2,,18,16,20,,51,,,,,,,78,,6.8,,7469,71,1413:1,,36193,334,299:1,,6548,61,1634:1,,2670,,,,,,,48,,,,,,,961628,11,11,12,,14,14,14,12,12,12,2,2,2,1,1,1,,73,73,74,,,,,,,,,,,,,,,,,4991806,35,34,35,,6.7,,,,89,3707636,88,89,,1,,1907710,2761082,69,69,70,,6517229,7261810,90,90,90,,180772,5231648,3.5,,139071,29680,4.7,,18,17,18,,,,,,,49111,93,92,94,,,,,,,,,,,,,,,,,,,,,,,12040,11.3,,25,,
37001,North Carolina,Alamance,,2843,9571,9028,10113,-0.24,5126,4119,6134,,,,,,,,,,14624,13137,16111,,,,,,,,,,9172,8466,9878,,4.1,3.3,5.0,-0.52,,9,9,10,0.50,7,6,8,,,,10,7,14,15,14,16,,,,14,10,17,8,7,9,5.1,4.1,6.2,-0.89,20,18,22,0.02,50,-0.84,,49,40,22,53,81,-0.81,7.2,0.24,67,39,2595:1,0.43,344,192,521:1,0.08,99,56,1781:1,-0.21,2740,-0.08,,1576,3633,1696,2499,45,-0.26,,31,44,31,46,17569,13,11,14,0.46,13,12,15,11,10,13,2,1,2,1,0,1,0.07,80,78,82,0.40,,,,80,65,95,83,79,88,71,65,76,78,76,80,82208,37,35,39,0.29,7.4,-0.14,No,-0.77,88,60356,87,89,-0.58,2,0.46,26553,43158,62,58,65,-0.22,103995,117453,89,88,89,0.03,2914,85834,3.4,-0.17,122155,28295,4.3,-0.31,16,11,21,-0.37,62,9,34,27,9,843,98,92,105,-0.05,36,26,48,,,,,,,101,86,116,,,,,,,116,107,126,173,9.8,0.29,22,-0.94,
37003,North Carolina,Alexander,,754,10847,9578,12115,0.09,,,,,,,,,,,,,8478,5587,12335,,,,,,,,,,11357,9911,12803,,4.2,3.4,5.1,-0.43,,8,7,9,-0.12,5,2,9,,,,,,,17,9,24,,,,,,,8,7,9,5.3,4.2,6.4,-0.64,17,15,19,-0.48,44,-0.26,,25,33,25,45,47,0.67,7.4,0.07,7,19,5235:1,0.97,33,90,1105:1,0.52,8,22,4564:1,0.79,2975,0.13,,,3198,,2958,46,-0.38,,,38,,47,3317,12,10,14,0.32,10,7,12,7,5,9,3,1,4,0,0,1,-0.73,84,81,87,0.94,,,,,,,,,,,,,,,,15536,39,34,45,0.47,7.7,0.01,No,-0.77,85,11760,82,87,-0.04,1,0.77,4531,8627,53,45,60,0.56,22590,26398,86,83,88,0.58,580,18013,3.2,-0.31,111844,29071,3.8,-0.90,17,12,23,-0.20,,,,23,16,170,92,78,105,-0.27,,,,,,,,,,,,,,,,,,,,,,55,15.1,-0.63,23,-0.85,
37005,North Carolina,Alleghany,,227,8598,6419,10777,-0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.7,5.6,0.26,,9,7,11,0.10,9,4,14,,,,,,,,,,,,,,,,9,6,11,5.5,4.4,6.7,-0.17,21,19,24,0.31,45,-0.35,,,55,45,45,65,-0.11,7.3,0.15,11,100,1004:1,-1.25,26,229,436:1,-0.08,1,9,11185:1,1.17,2237,-0.55,,,,,,44,-0.13,,,,,,1356,17,15,20,1.48,13,9,17,11,7,15,2,1,4,1,0,2,0.01,77,69,84,-0.05,,,,,,,,,,,,,,,,4190,27,20,34,-0.50,6.4,-0.64,No,-0.77,81,4092,77,85,0.51,1,0.58,1165,2217,53,40,65,0.56,7163,8618,83,79,88,1.04,191,4266,4.5,0.72,92057,20982,4.4,-0.23,25,16,33,0.68,,,,53,27,67,120,93,153,0.68,,,,,,,,,,,,,,,,,,,,,,14,12.5,-0.19,27,-0.27,
37007,North Carolina,Anson,,609,15560,13639,17481,1.32,,,,,,,,,,,,,18448,15381,21515,,,,,,,,,,13882,11220,16544,,4.7,3.7,5.6,0.29,,15,14,17,3.26,13,6,20,,,,,,,20,18,23,,,,,,,10,7,12,5.4,4.3,6.6,-0.37,23,21,26,0.79,42,-0.06,,,32,,46,36,1.17,7.5,-0.02,10,45,2206:1,0.24,19,87,1152:1,0.54,5,23,4440:1,0.77,3011,0.17,,,3664,,2667,44,-0.13,,,46,,45,1949,12,11,14,0.44,19,15,23,16,11,20,2,1,4,1,0,2,1.36,75,69,81,-0.30,,,,,,,74,65,84,,,,80,73,88,8292,48,40,56,1.15,7.5,-0.09,No,-0.77,84,7016,81,88,0.00,0,0.91,1934,5549,35,28,41,2.08,12883,15630,82,80,85,1.16,414,10263,4.0,0.36,88460,18984,4.7,0.12,33,23,43,1.73,,,44,28,22,154,131,110,152,1.03,,,,,,,,,,123,96,156,,,,,,,152,120,189,29,13.1,-0.28,29,0.05,
37009,North Carolina,Ashe,,577,9771,8318,11224,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,3.4,5.2,-0.40,,9,8,10,0.27,,,,,,,,,,,,,,,,,,,,,,5.3,4.2,6.4,-0.64,18,16,20,-0.38,50,-0.84,,,,49,50,56,0.26,6.8,0.58,13,49,2055:1,0.15,48,177,564:1,0.15,11,41,2465:1,0.24,2232,-0.55,,,,,,42,0.11,,,,,,2648,14,12,16,0.68,9,7,11,7,5,9,1,0,2,1,0,1,-0.88,79,76,83,0.32,,,,,,,,,,,,,,,,10853,33,27,38,-0.07,5.9,-0.89,No,-0.77,80,9621,77,84,0.64,2,0.45,3519,5679,62,52,72,-0.26,18048,20626,88,85,90,0.22,385,12820,3.0,-0.49,100910,23436,4.3,-0.33,22,14,30,0.37,,,,13,14,133,98,82,115,-0.05,,,,,,,,,,,,,,,,,,,,,,26,9.6,0.33,25,-0.46,
37011,North Carolina,Avery,,316,9111,7357,10865,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,3.4,5.2,-0.37,,9,7,11,0.25,,,,,,,,,,,,,,,,,,,,,,5.2,4.2,6.4,-0.71,17,16,20,-0.46,49,-0.74,,,,,,100,-1.67,8.1,-0.53,4,22,4466:1,0.88,84,478,209:1,-1.15,8,46,2196:1,0.10,1707,-1.04,,,,,,36,0.84,,,,,,1795,16,13,18,1.13,11,8,13,9,6,11,2,0,3,0,0,1,-0.48,81,75,86,0.46,,,,,,,,,,,,,,,,6269,27,21,33,-0.51,5.7,-0.99,No,-0.77,83,5418,81,84,0.27,1,0.71,2296,4325,53,44,62,0.51,11665,13505,86,84,89,0.43,236,7798,3.0,-0.47,123354,26164,4.7,0.18,22,14,30,0.38,,,,22,9,77,87,69,109,-0.41,,,,,,,,,,,,,,,,,,,,,,33,18.8,-1.28,29,0.10,
37013,North Carolina,Beaufort,,983,12293,10950,13636,0.47,,,,,,,,,,,,,16824,13702,19946,,,,,,,,,,11830,10121,13540,,4.3,3.4,5.3,-0.25,,12,10,13,1.50,8,5,10,,,,,,,19,16,21,,,,,,,9,8,10,5.1,4.1,6.3,-0.86,20,18,22,0.06,52,-1.03,,33,42,,54,86,-1.03,7.1,0.32,23,52,1933:1,0.07,92,207,483:1,0.02,17,38,2604:1,0.31,2983,0.14,,,4628,,2709,54,-1.35,,,48,,55,3974,12,11,14,0.38,15,12,18,13,11,16,1,0,2,0,0,1,0.45,83,80,87,0.85,,,,,,,80,74,87,79,73,85,81,76,86,19088,35,31,39,0.13,5.9,-0.89,No,-0.77,85,16157,82,87,-0.03,1,0.69,5624,9361,60,53,67,-0.09,28902,32814,88,86,90,0.12,784,19376,4.0,0.37,116003,22522,5.2,0.73,31,23,38,1.42,,,54,44,17,258,112,99,126,0.41,,,,,,,,,,98,73,128,,,,,,,130,112,148,54,12.2,-0.13,30,0.22,
37015,North Carolina,Bertie,,442,14628,12316,16939,1.08,,,,,,,,,,,,,16578,13340,19816,,,,,,,,,,12565,9061,16069,,4.7,3.9,5.7,0.36,,14,12,16,2.67,,,,,,,,,,18,15,21,,,,,,,7,5,10,5.3,4.3,6.5,-0.53,25,23,28,1.21,34,0.71,,,32,,36,50,0.56,5.4,1.77,5,29,3501:1,0.71,12,71,1410:1,0.60,2,12,8620:1,1.09,3101,0.25,,,3453,,2897,48,-0.62,,,50,,47,1307,12,10,14,0.27,21,16,26,18,13,23,3,1,5,1,0,2,1.91,82,79,86,0.72,,,,,,,72,52,92,,,,78,67,89,5807,35,28,42,0.13,6.1,-0.79,No,-0.77,70,4910,65,74,2.21,1,0.65,2117,4280,49,40,59,0.82,10876,13268,82,79,85,1.25,308,7037,4.4,0.64,94756,17908,5.3,0.91,34,22,45,1.79,,,41,,2,95,104,84,127,0.14,,,,,,,,,,99,75,129,,,,,,,117,82,161,42,24.4,-2.26,37,1.24,
